review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
hera_lip_001_review_001,30대,F,민감성,"잔주름, 주름",5,중요한 프레젠테이션 날 이 쿠션으로 메이크업하면 완벽합니다. 저녁까지 지속력이 뛰어나요.,True
hera_lip_001_review_002,30대,F,지성,"잔주름, 주름",4,시그니아 세럼 사용 후 피부 탄력이 개선되는 느낌입니다. 고농축 성분이 효과적이에요.,False
hera_lip_001_review_003,40대,F,지성,"광채, 잔주름",5,중요한 프레젠테이션 날 이 쿠션으로 메이크업하면 완벽합니다. 저녁까지 지속력이 뛰어나요.,True
hera_lip_001_review_004,40대,F,지성,"잔주름, 광채",5,립 라이너로 입술 라인을 정교하게 그릴 수 있어요. 번짐 없이 오래 유지되어 좋습니다.,False
hera_lip_001_review_005,40대,F,지성,"광채, 다크서클",5,블랙 파운데이션 세미 매트 마무리가 고급스럽습니다. 피부 톤이 균일하게 정돈되어요.,False
hera_lip_001_review_006,20대,F,건성,"탄력저하, 광채",4,선크림 백탁 없이 자연스럽게 발리고 차단 효과도 우수합니다. 데일리로 쓰기 좋네요.,False
hera_lip_001_review_007,30대,F,건성,"피부톤, 칙칙함",5,센슈얼 립스틱 발색이 고급스럽고 색감이 세련됩니다. 질감도 부드러워서 입술이 편안해요.,False
hera_lip_001_review_008,20대,F,모든피부,"건조, 잔주름",5,센슈얼 립스틱 발색이 고급스럽고 색감이 세련됩니다. 질감도 부드러워서 입술이 편안해요.,False
hera_lip_001_review_009,30대,F,모든피부,"수분부족, 피부톤",5,특별한 저녁 약속에 이 립스틱을 바르면 세련된 분위기가 연출됩니다. 칭찬 많이 받았어요.,True
hera_lip_001_review_010,40대,F,건성,"광채, 피부톤",5,셀 에센스 피부 재생 효과가 느껴집니다. 아침 피부 상태가 확실히 좋아졌어요.,False
hera_lip_001_review_011,30대,F,복합성,"주름, 수분부족",5,선크림 백탁 없이 자연스럽게 발리고 차단 효과도 우수합니다. 데일리로 쓰기 좋네요.,False
hera_lip_001_review_012,40대,F,복합성,잔주름,5,센슈얼 립스틱 발색이 고급스럽고 색감이 세련됩니다. 질감도 부드러워서 입술이 편안해요.,False
