review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
laneige_base_002_review_001,20대,F,모든피부,"모공, 수분부족",5,주말에 친구들 만날 때 쓰는데 칭찬 많이 받았어요. 피부 표현이 자연스러워요.,True
laneige_base_002_review_002,20대,F,지성,주름,5,야근 많은 직장인인데 저녁까지 화장이 무너지지 않아서 정말 만족해요. 추천합니다.,True
laneige_base_002_review_003,20대,F,건성,"건조, 붉은기",5,야근 많은 직장인인데 저녁까지 화장이 무너지지 않아서 정말 만족해요. 추천합니다.,True
laneige_base_002_review_004,40대,F,건성,"붉은기, 칙칙함",4,네오 쿠션 커버력 좋고 지속력도 뛰어나요. 피부 표현이 자연스러워서 만족합니다.,False
laneige_base_002_review_005,30대,F,모든피부,"다크서클, 피지",5,주말에 친구들 만날 때 쓰는데 칭찬 많이 받았어요. 피부 표현이 자연스러워요.,True
laneige_base_002_review_006,30대,F,모든피부,"칙칙함, 주름",5,에센스 발림이 좋고 흡수도 빨라요. 피부가 건강해지는 느낌이 들어서 계속 쓰게 돼요.,False
laneige_base_002_review_007,20대,F,복합성,"다크서클, 주름",4,워터뱅크 라인 쓰고 있는데 정말 촉촉해요. 건조한 피부에 딱 맞는 제품이에요.,False
laneige_base_002_review_008,20대,F,지성,"주름, 민감함",5,회의 많은 날에도 화장 걱정 없어요. 지속력이 정말 뛰어나서 믿고 써요.,True
laneige_base_002_review_009,40대,F,민감성,붉은기,5,비타민 크림 피부톤이 환해지는 느낌이에요. 꾸준히 사용하니 효과가 보이네요.,False
laneige_base_002_review_010,20대,F,지성,"피지, 민감함",5,회의 많은 날에도 화장 걱정 없어요. 지속력이 정말 뛰어나서 믿고 써요.,True
laneige_base_002_review_011,20대,F,모든피부,탄력저하,5,데이트 전에 꼭 바르는 립 제품이에요. 입술이 촉촉하고 예뻐 보여서 좋아요.,True
laneige_base_002_review_012,30대,F,건성,다크서클,5,클렌징 오일 메이크업 잘 지워지고 세안 후에도 촉촉해요. 건조하지 않아서 좋아요.,False
