review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
etude_eye_001_review_001,10대,F,건성,피지,3,학교 갈때 항상 이거 발라요! 시간 없을때도 빠르게 바를 수 있어서 좋음💕,True
etude_eye_001_review_002,20대,F,지성,민감함,5,립스틱 색감 완전 예쁘고 촉촉해요💄 MLBB로 쓰기 딱 좋고 친구 만날때 항상 발라요!,False
etude_eye_001_review_003,20대,F,건성,"각질, 번들거림",5,아이섀도우 발색 미쳤어요✨ 여러개 사서 모으고싶을 정도로 예뻐요! 친구한테도 추천함💕,False
etude_eye_001_review_004,20대,F,건성,"민감함, 붉은기",5,수분크림 텍스처가 가볍고 끈적임 없어서 좋아요! 여름에 쓰기 완벽할듯💧 가격도 저렴함!,False
etude_eye_001_review_005,10대,F,복합성,번들거림,4,수분크림 텍스처가 가볍고 끈적임 없어서 좋아요! 여름에 쓰기 완벽할듯💧 가격도 저렴함!,False
etude_eye_001_review_006,10대,F,건성,"건조, 속건조",5,MT 갈때 챙겨갔는데 대박 유용했어요! 밤새도 안지워져서 완전 신기함✨,True
etude_eye_001_review_007,20대,F,건성,건조,5,팔레트 컬러 다양하고 발색 좋아요🎨 매일 다른 메이크업 할 수 있어서 완전 꿀템! 강추💕,False
etude_eye_001_review_008,10대,F,모든피부,민감함,5,클렌징폼 거품이 몽글몽글하고 세안 후에 당기지 않아서 좋아요! 민감한 피부도 괜찮을듯👌,False
etude_eye_001_review_009,20대,F,지성,모공,5,아이라이너 진짜 얇게 잘 그려져요! 초보도 쉽게 쓸 수 있고 번짐도 없어서 완전 강추👍,False
etude_eye_001_review_010,20대,F,민감성,피지,5,친구 만날때 쓰는데 친구들이 다 물어봐요ㅋㅋ 색 진짜 예쁘다고👍,True
etude_eye_001_review_011,10대,F,민감성,번들거림,5,쿠션 커버력 좋아요! 피부톤도 환하게 만들어주고 지속력도 좋아서 데일리로 쓰기 좋음✨,False
etude_eye_001_review_012,20대,F,복합성,모공,5,쿠션 커버력 좋아요! 피부톤도 환하게 만들어주고 지속력도 좋아서 데일리로 쓰기 좋음✨,False
