review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
iope_serum_004_review_001,30대,F,민감성,"모공, 주름",5,출장 많은 직업인데 여행용 키트로 챙겨 다닙니다. 피부 컨디션 유지에 필수예요.,True
iope_serum_004_review_002,20대,M,복합성,모공,5,영업직이라 외근 많은데 선크림 필수입니다. 백탁 없어서 부담 없어요.,True
iope_serum_004_review_003,30대,F,복합성,"수분부족, 탄력저하",4,UV 실드 선크림 차단 지수가 높으면서도 백탁 없이 자연스럽습니다. 매일 사용해요.,False
iope_serum_004_review_004,30대,F,모든피부,"모공, 다크서클",5,비타 C23 세럼 피부톤이 환해지고 광채가 생깁니다. 고농축이라 효과가 빨라요.,False
iope_serum_004_review_005,30대,M,모든피부,피지,5,맨 올인원 에센스 간편하게 쓸 수 있어 좋습니다. 바쁜 아침에 딱이에요.,False
iope_serum_004_review_006,30대,F,지성,"수분부족, 다크서클",5,병원에서 근무하는데 민감한 피부 관리에 효과적입니다. 과학적 성분이 신뢰가 가요.,True
iope_serum_004_review_007,30대,F,건성,"모공, 주름",4,스템3 세럼 피부 탄력과 밀도가 개선되는 걸 느낍니다. 과학적 성분이 신뢰가 가요.,False
iope_serum_004_review_008,40대,F,건성,"민감함, 다크서클",5,출장 많은 직업인데 여행용 키트로 챙겨 다닙니다. 피부 컨디션 유지에 필수예요.,True
iope_serum_004_review_009,30대,F,건성,주름,5,하이알루론산 앰플 보습 효과가 정말 뛰어납니다. 건조한 피부가 촉촉해졌어요.,False
iope_serum_004_review_010,30대,M,건성,"건조, 다크서클",5,영업직이라 외근 많은데 선크림 필수입니다. 백탁 없어서 부담 없어요.,True
iope_serum_004_review_011,30대,F,복합성,건조,5,병원에서 근무하는데 민감한 피부 관리에 효과적입니다. 과학적 성분이 신뢰가 가요.,True
iope_serum_004_review_012,20대,F,지성,모공,4,하이알루론산 앰플 보습 효과가 정말 뛰어납니다. 건조한 피부가 촉촉해졌어요.,False
