review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
sulwhasoo_essence_001_review_001,30대,F,모든피부,"탄력저하, 주름, 윤기부족",5,자음생 라인 꾸준히 사용하니 피부 생명력이 살아나는 느낌입니다. 확실히 달라진 게 보여요.,False
sulwhasoo_essence_001_review_002,30대,F,복합성,"칙칙함, 피부노화",5,탄력 에센스 처진 피부가 탄탄해지는 걸 느낍니다. 한방 성분이 피부에 잘 맞는 것 같아요.,False
sulwhasoo_essence_001_review_003,40대,F,민감성,"광채, 탄력저하",5,탄력 크림 피부에 깊은 영양을 공급하는 느낌입니다. 윤기 있고 건강한 피부로 가꿔지네요.,False
sulwhasoo_essence_001_review_004,50대,F,복합성,"건조, 처짐, 윤기부족",5,진설 크림 피부 탄력이 눈에 띄게 좋아졌습니다. 고급스러운 향과 텍스처도 만족스러워요.,False
sulwhasoo_essence_001_review_005,50대,F,복합성,"칙칙함, 탄력저하",5,특별한 날을 위해 준비했습니다. 피부 컨디션이 최상으로 올라와서 만족스러워요.,True
sulwhasoo_essence_001_review_006,40대,F,건성,"주름, 윤기부족",5,특별한 날을 위해 준비했습니다. 피부 컨디션이 최상으로 올라와서 만족스러워요.,True
sulwhasoo_essence_001_review_007,50대,F,모든피부,"건조, 광채",5,탄력 에센스 처진 피부가 탄탄해지는 걸 느낍니다. 한방 성분이 피부에 잘 맞는 것 같아요.,False
sulwhasoo_essence_001_review_008,50대,F,모든피부,"잔주름, 처짐, 탄력저하",5,진설 세럼 피부 노화 개선에 확실히 도움이 됩니다. 가격은 있지만 효과가 확실해요.,False
sulwhasoo_essence_001_review_009,50대,F,민감성,"광채, 건조",5,중요한 행사 전 일주일간 집중 케어했습니다. 피부가 정말 좋아져서 칭찬 많이 받았어요.,True
sulwhasoo_essence_001_review_010,50대,F,모든피부,"탄력저하, 칙칙함",5,탄력 에센스 처진 피부가 탄탄해지는 걸 느낍니다. 한방 성분이 피부에 잘 맞는 것 같아요.,False
sulwhasoo_essence_001_review_011,50대,F,민감성,"칙칙함, 윤기부족",5,진설 크림 피부 탄력이 눈에 띄게 좋아졌습니다. 고급스러운 향과 텍스처도 만족스러워요.,False
sulwhasoo_essence_001_review_012,40대,F,건성,"윤기부족, 광채",5,자음생 라인 꾸준히 사용하니 피부 생명력이 살아나는 느낌입니다. 확실히 달라진 게 보여요.,False
