review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
iope_serum_001_review_001,20대,F,건성,"수분부족, 민감함",5,비타 C23 세럼 피부톤이 환해지고 광채가 생깁니다. 고농축이라 효과가 빨라요.,False
iope_serum_001_review_002,40대,F,모든피부,다크서클,5,출장 많은 직업인데 여행용 키트로 챙겨 다닙니다. 피부 컨디션 유지에 필수예요.,True
iope_serum_001_review_003,30대,F,복합성,수분부족,4,더마 리페어 시카크림 민감한 피부가 진정되었습니다. 피부 장벽 강화에 좋아요.,False
iope_serum_001_review_004,40대,F,민감성,"모공, 칙칙함",5,바이오 크림 피부에 깊은 영양을 공급하는 느낌입니다. 보습 지속력이 좋아요.,False
iope_serum_001_review_005,40대,M,지성,"모공, 피지",5,운동 후 피부가 민감한데 이 제품으로 진정시킵니다. 남자 피부에 잘 맞아요.,True
iope_serum_001_review_006,40대,F,지성,칙칙함,5,바이오 크림 피부에 깊은 영양을 공급하는 느낌입니다. 보습 지속력이 좋아요.,False
iope_serum_001_review_007,40대,F,모든피부,"탄력저하, 건조",5,비타 C23 세럼 피부톤이 환해지고 광채가 생깁니다. 고농축이라 효과가 빨라요.,False
iope_serum_001_review_008,30대,F,민감성,"주름, 수분부족",5,병원에서 근무하는데 민감한 피부 관리에 효과적입니다. 과학적 성분이 신뢰가 가요.,True
iope_serum_001_review_009,30대,F,지성,"칙칙함, 모공",5,바이오 크림 피부에 깊은 영양을 공급하는 느낌입니다. 보습 지속력이 좋아요.,False
iope_serum_001_review_010,30대,F,복합성,"피지, 민감함",5,병원에서 근무하는데 민감한 피부 관리에 효과적입니다. 과학적 성분이 신뢰가 가요.,True
iope_serum_001_review_011,30대,F,모든피부,"다크서클, 민감함",5,병원에서 근무하는데 민감한 피부 관리에 효과적입니다. 과학적 성분이 신뢰가 가요.,True
iope_serum_001_review_012,30대,M,민감성,"피지, 모공",5,면도 후 피부가 민감한데 이 제품 바르면 진정됩니다. 자극 없어서 좋아요.,False
